url_tail,timeFrom,timeTo
/deal/9182215,12:00,18:00
/deal/9182215,19:00,02:00
/deal/9182215,00:00,06:00
/deal/9348179,12:00,19:00
/deal/9348179,19:00,02:00
/deal/9348179,00:00,07:00
/deal/14816465,12:30,19:00
/deal/23723502,00:00,07:00
/deal/23723502,19:00,02:00
/deal/23723502,12:00,19:00
/deal/24322685,10:00,18:00
/deal/24322685,18:00,00:00
/deal/24322685,00:00,06:00
/deal/24322685,05:00,06:00
/deal/22637061,19:00,02:00
/deal/13707103,12:00,19:00
/deal/13707103,19:00,00:00
/deal/13707103,00:00,06:00
/deal/23407190,12:00,19:00
/deal/23407190,19:00,02:00
/deal/23407190,00:00,07:00
/deal/23407190,12:00,13:00
/deal/23890670,12:00,19:00
/deal/23890670,19:00,02:00
/deal/23890670,12:00,13:00
/deal/21562206,23:00,07:00
/deal/23851111,12:00,19:00
/deal/23851111,00:00,07:00
/deal/19578988,12:00,18:00
/deal/19578988,18:00,03:00
/deal/19578988,00:00,06:00
/deal/14716628,12:00,08:00
/deal/23522439,12:00,19:00
/deal/23522439,19:00,02:00
/deal/23522439,00:00,07:00
/deal/14579158,19:00,00:00
/deal/22218122,13:00,18:00
/deal/22218122,18:00,00:00
/deal/22218122,23:00,04:00
/deal/25220198,19:00,00:00
/deal/21194709,12:00,18:00
/deal/21194709,18:00,03:00
/deal/21194709,22:00,03:00
/deal/22068445,13:00,18:00
/deal/22068445,18:00,03:00
/deal/22068445,02:00,03:00
/deal/14835677,19:00,00:00
/deal/23460865,12:00,18:00
/deal/23460865,18:00,03:00
/deal/23409028,23:00,07:00
/deal/22084787,13:00,18:00
/deal/22084787,18:00,04:00
/deal/23851136,19:00,00:00
/deal/19577888,12:00,18:00
/deal/19577888,18:00,03:00
/deal/25112784,13:00,18:00
/deal/25112784,18:00,21:00
/deal/14596147,12:30,19:00
/deal/14713712,12:00,18:00
/deal/14713712,18:00,02:00
/deal/14713712,02:00,07:00
/deal/22942533,13:00,18:00
/deal/22942533,18:00,21:00
/deal/21285871,13:00,18:00
/deal/21763049,12:00,19:00
/deal/24709022,17:00,20:00
/deal/22069401,13:00,18:00
/deal/22069401,18:00,03:00
/deal/24365474,12:00,18:00
/deal/24365474,18:00,03:00
/deal/24365474,02:00,03:00
/deal/24365358,12:00,18:00
/deal/24365358,18:00,03:00
/deal/24365358,02:00,03:00
/deal/24461973,17:00,02:00
/deal/14421113,12:00,18:00
/deal/14421113,18:00,02:00
/deal/19579754,12:00,18:00
/deal/19579754,18:00,06:00
/deal/19579754,00:00,06:00
/deal/21196590,12:00,18:00
/deal/21196590,18:00,03:00
/deal/24403492,No timeFrom,No timeTo
/deal/12210212,12:00,18:00
/deal/20613967,13:00,18:00
/deal/20613967,18:00,03:00
/deal/25377759,13:00,18:00
/deal/22942741,13:00,18:00
/deal/22942741,18:00,03:00
/deal/25186497,13:00,17:00
/deal/22068984,13:00,18:00
/deal/22068984,18:00,03:00
/deal/19580342,12:00,18:00
/deal/19580342,18:00,03:00
/deal/18977887,14:00,18:00
/deal/18977887,18:00,00:00
/deal/18977887,00:00,03:00
/deal/24640120,13:00,18:00
/deal/21196994,12:00,18:00
/deal/21196994,18:00,03:00
/deal/24434710,13:00,17:00
/deal/22069778,12:00,18:00
/deal/22069778,18:00,03:00
/deal/22943527,13:00,18:00
/deal/22943527,18:00,03:00
/deal/25377808,13:00,18:00
/deal/12346790,12:00,02:00
/deal/14186109,13:00,19:00
/deal/24434911,19:00,02:00
/deal/22042651,14:00,18:00
/deal/22042651,18:00,03:00
/deal/21053610,12:00,06:00
/deal/24680238,00:00,03:00
/deal/22873549,13:00,04:00
/deal/24680081,00:00,03:00
/deal/24661338,13:00,18:00
/deal/24661413,13:00,18:00
/deal/20613998,13:00,03:00
/deal/22873708,13:00,04:00
/deal/22873644,13:00,04:00
/deal/19544272,10:00,00:00
/deal/19544272,12:00,06:00
/deal/19544637,14:00,18:00
/deal/19544637,18:00,00:00
/deal/19544637,00:00,03:00
/deal/22943558,13:00,18:00
/deal/22943558,18:00,03:00
/deal/12347127,12:00,02:00
/deal/12347144,12:00,02:00
/deal/12347099,12:00,02:00
/deal/12347191,12:00,02:00
/deal/12346916,12:00,02:00
/deal/12346940,12:00,18:00
/deal/26268814,18:00,02:00
/deal/26268814,12:00,18:00
/deal/26268814,23:00,06:00
/deal/26268976,18:00,02:00
/deal/26268976,12:00,18:00
/deal/26268976,23:00,06:00
/deal/26007786,12:00,18:00
/deal/26007786,18:00,03:00
/deal/26052519,12:00,18:00
/deal/26052519,18:00,03:00
/deal/26693641,19:00,00:00
/deal/26693641,00:00,06:00
/deal/26694095,19:00,00:00
/deal/26694095,00:00,06:00
/deal/26693288,19:00,00:00
/deal/26693288,00:00,06:00
/deal/26514877,13:00,18:00
/deal/26514877,18:00,03:00
/deal/26268814,18:00,02:00
/deal/26268814,12:00,18:00
/deal/26268814,23:00,06:00
/deal/26268976,18:00,02:00
/deal/26268976,12:00,18:00
